4.000000000E-2	1.099603356E0
8.000000000E-2	1.078803944E0
1.200000000E-1	1.053417141E0
1.600000000E-1	9.974216873E-1
2.000000000E-1	9.347559109E-1
2.400000000E-1	8.577244885E-1
2.800000000E-1	7.585019357E-1
3.200000000E-1	6.402566722E-1
3.600000000E-1	5.215201755E-1
4.000000000E-1	3.639611328E-1
4.400000000E-1	2.055646854E-1
4.800000000E-1	1.660573201E-1
5.200000000E-1	2.853171164E-1
5.600000000E-1	4.039376491E-1
6.000000000E-1	5.033257493E-1
6.400000000E-1	5.900285200E-1
6.800000000E-1	6.569584061E-1
7.200000000E-1	6.994945281E-1
7.600000000E-1	7.367318260E-1
8.000000000E-1	7.514092101E-1
8.400000000E-1	7.570543304E-1
8.800000000E-1	7.433412012E-1
9.200000000E-1	7.122425270E-1
9.600000000E-1	6.698056929E-1
1.000000000E0	6.102679653E-1
1.040000000E0	5.310891829E-1
1.080000000E0	4.325427376E-1
1.120000000E0	3.333591767E-1
1.160000000E0	1.949661571E-1
1.200000000E0	1.223419421E-1
1.240000000E0	1.989209766E-1
1.280000000E0	2.988795237E-1
1.320000000E0	3.809839754E-1
1.360000000E0	4.477318749E-1
1.400000000E0	4.989276302E-1
1.440000000E0	5.324244748E-1
1.480000000E0	5.481596676E-1
1.520000000E0	5.499328140E-1
1.560000000E0	5.328233896E-1
1.600000000E0	5.088619090E-1
1.640000000E0	4.517200581E-1
1.680000000E0	3.920132818E-1
1.720000000E0	3.129031817E-1
1.760000000E0	2.133924378E-1
1.800000000E0	1.323810209E-1
1.840000000E0	1.750188896E-1
1.880000000E0	2.544114523E-1
1.920000000E0	3.145153524E-1
1.960000000E0	3.727553978E-1
2.000000000E0	3.936099799E-1
2.040000000E0	3.939758830E-1
2.080000000E0	3.930901529E-1
2.120000000E0	3.737835931E-1
2.160000000E0	3.333390900E-1
2.200000000E0	2.738343957E-1
2.240000000E0	1.951296524E-1
2.280000000E0	1.344525981E-1
2.320000000E0	1.540065374E-1
2.360000000E0	2.142273483E-1
2.400000000E0	2.736721443E-1
2.440000000E0	2.947801288E-1
2.480000000E0	3.145456740E-1
2.520000000E0	3.146233590E-1
2.560000000E0	2.943755462E-1
2.600000000E0	2.546164377E-1
2.640000000E0	2.139418205E-1
2.680000000E0	1.541043449E-1
2.720000000E0	1.297230409E-1
2.760000000E0	1.744718867E-1
2.800000000E0	2.140288771E-1
2.840000000E0	2.342854306E-1
2.880000000E0	2.532828162E-1
2.920000000E0	2.338199827E-1

